"codigo","mpio","year","rural","urbana"
"5000","Antioquia",2022,1376295,5511011
"5001","Medellín",2022,42631,2570327
"5002","Abejorral",2022,12199,8721
"5004","Abriaquí",2022,1861,959
"5021","Alejandría",2022,2031,2814
"5030","Amagá",2022,15807,16452
"5031","Amalfi",2022,11307,16614
"5034","Andes",2022,22417,23160
"5036","Angelópolis",2022,3460,2563
"5038","Angostura",2022,8751,3145
"5040","Anorí",2022,10614,9090
"5042","Santafé de Antioquia",2022,9285,18559
"5044","Anzá",2022,5755,1638
"5045","Apartadó",2022,20175,111579
"5051","Arboletes",2022,19772,11690
"5055","Argelia",2022,3942,3838
"5059","Armenia",2022,3252,1980
"5079","Barbosa",2022,29989,26064
"5086","Belmira",2022,4363,1944
"5088","Bello",2022,15498,553990
"5091","Betania",2022,6492,4113
"5093","Betulia",2022,11211,5181
"5101","Ciudad Bolívar",2022,9884,17250
"5107","Briceño",2022,5278,3095
"5113","Buriticá",2022,7160,2774
"5120","Cáceres",2022,24245,7064
"5125","Caicedo",2022,6678,2124
"5129","Caldas",2022,15790,70252
"5134","Campamento",2022,6497,3034
"5138","Cañasgordas",2022,10131,5906
"5142","Caracolí",2022,1713,2960
"5145","Caramanta",2022,2408,2385
"5147","Carepa",2022,13795,38954
"5148","El Carmen de Viboral",2022,25021,39525
"5150","Carolina",2022,932,3164
"5154","Caucasia",2022,10616,87807
"5172","Chigorodó",2022,9120,52594
"5190","Cisneros",2022,1164,9082
"5197","Cocorná",2022,8021,7275
"5206","Concepción",2022,2680,2226
"5209","Concordia",2022,13825,8539
"5212","Copacabana",2022,14623,69766
"5234","Dabeiba",2022,13926,10316
"5237","Don Matías",2022,6624,13704
"5240","Ebéjico",2022,9674,2838
"5250","El Bagre",2022,18584,36941
"5264","Entrerrios",2022,5502,6594
"5266","Envigado",2022,7937,241863
"5282","Fredonia",2022,16239,9287
"5284","Frontino",2022,11503,9843
"5306","Giraldo",2022,3483,2446
"5308","Girardota",2022,23144,33004
"5310","Gómez Plata",2022,4529,5701
"5313","Granada",2022,4297,5772
"5315","Guadalupe",2022,4241,2632
"5318","Guarne",2022,37863,22122
"5321","Guatapé",2022,2885,6096
"5347","Heliconia",2022,2937,2626
"5353","Hispania",2022,1928,3837
"5360","Itagüí",2022,24111,274987
"5361","Ituango",2022,20038,8618
"5364","Jardín",2022,6680,8613
"5368","Jericó",2022,5685,8448
"5376","La Ceja",2022,8569,61901
"5380","La Estrella",2022,9790,68098
"5390","La Pintada",2022,837,7889
"5400","La Unión",2022,8397,14697
"5411","Liborina",2022,7631,2774
"5425","Maceo",2022,4965,3540
"5440","Marinilla",2022,19349,50675
"5467","Montebello",2022,4594,2254
"5475","Murindó",2022,3326,2072
"5480","Mutatá",2022,8737,6101
"5483","Nariño",2022,6653,3604
"5490","Necoclí",2022,31794,13709
"5495","Nechí",2022,12780,15433
"5501","Olaya",2022,2903,371
"5541","Peñol",2022,9770,12678
"5543","Peque",2022,5704,2839
"5576","Pueblorrico",2022,4012,4995
"5579","Puerto Berrío",2022,5592,36391
"5585","Puerto Nare",2022,9576,5314
"5591","Puerto Triunfo",2022,15597,3969
"5604","Remedios",2022,16723,13836
"5607","Retiro",2022,11028,14506
"5615","Rionegro",2022,51982,95502
"5628","Sabanalarga",2022,6011,3556
"5631","Sabaneta",2022,10403,80340
"5642","Salgar",2022,11026,7805
"5647","San Andrés de Cuerquía",2022,4179,3329
"5649","San Carlos",2022,8407,7897
"5652","San Francisco",2022,3170,2904
"5656","San Jerónimo",2022,8669,7851
"5658","San José de La Montaña",2022,1305,2577
"5659","San Juan de Urabá",2022,13630,7978
"5660","San Luis",2022,5122,8410
"5664","San Pedro de Los Milagros",2022,9745,13858
"5665","San Pedro de Urabá",2022,18052,15098
"5667","San Rafael",2022,7520,8631
"5670","San Roque",2022,14477,7794
"5674","San Vicente",2022,16261,6909
"5679","Santa Bárbara",2022,14176,13858
"5686","Santa Rosa de Osos",2022,16034,23024
"5690","Santo Domingo",2022,9358,3350
"5697","El Santuario",2022,9933,27814
